epoch,train_loss,train_top1,test_loss,test_top1,test_top5
1,0.46485252794265747,84.112,0.3256968273639679,88.56,99.68
2,0.24363269892215728,91.806,0.2691509579181671,90.93,99.78
3,0.17267823595166207,94.182,0.24973175480365753,91.67,99.84
4,0.13412610795497895,95.36,0.2388163539171219,92.01,99.85
5,0.10238680810391904,96.526,0.21398273561000825,93.16,99.89
6,0.07797025570571423,97.342,0.21366780132055282,92.9,99.87
7,0.06071597955346107,97.988,0.21263272189497948,93.59,99.77
8,0.04935350603431463,98.408,0.2021269403219223,93.86,99.84
9,0.03714344803482294,98.81,0.22618244269490242,93.69,99.82
10,0.02887808161176741,99.06,0.2326339950323105,93.57,99.86
11,0.01928100446548313,99.404,0.21961682402193547,94.38,99.82
12,0.0154923641285114,99.496,0.20790060495138168,94.57,99.86
13,0.009872411311902106,99.706,0.21949912999272347,94.55,99.83
14,0.008141202050913125,99.748,0.2179525507926941,94.82,99.8
15,0.004594782993104309,99.888,0.21083958243280648,94.95,99.82
16,0.0029221336997440083,99.934,0.20827664631903173,95.23,99.82
17,0.0019275172132719308,99.968,0.2048260990858078,95.24,99.82
18,0.0013041408359166235,99.98,0.20717043676972388,95.36,99.84
19,0.0011251940619572997,99.984,0.20784641736745835,95.44,99.79
20,0.0011984207083797081,99.978,0.20387900360226632,95.44,99.83
