layer_index,layer_name,out_channels_before,pruned_out_channels,out_channels_after,prune_ratio_target
1,layer1.0.conv1,64,9,55,0.15
2,layer1.0.conv2,64,9,55,0.15
3,layer1.1.conv1,64,9,55,0.15
4,layer1.1.conv2,55,8,47,0.15
5,layer1.2.conv1,64,9,55,0.15
6,layer1.2.conv2,47,7,40,0.15
7,layer2.0.conv1,128,19,109,0.15
8,layer2.0.conv2,128,19,109,0.15
10,layer2.1.conv1,128,19,109,0.15
11,layer2.1.conv2,109,16,93,0.15
12,layer2.2.conv1,128,19,109,0.15
13,layer2.2.conv2,93,13,80,0.15
14,layer2.3.conv1,128,19,109,0.15
15,layer2.3.conv2,80,12,68,0.15
16,layer3.0.conv1,256,38,218,0.15
17,layer3.0.conv2,256,38,218,0.15
19,layer3.1.conv1,256,38,218,0.15
20,layer3.1.conv2,218,32,186,0.15
21,layer3.2.conv1,256,38,218,0.15
22,layer3.2.conv2,186,27,159,0.15
23,layer3.3.conv1,256,38,218,0.15
24,layer3.3.conv2,159,23,136,0.15
25,layer3.4.conv1,256,38,218,0.15
26,layer3.4.conv2,136,20,116,0.15
27,layer3.5.conv1,256,38,218,0.15
28,layer3.5.conv2,116,17,99,0.15
29,layer4.0.conv1,512,64,448,0.15
30,layer4.0.conv2,512,64,448,0.15
32,layer4.1.conv1,512,64,448,0.15
33,layer4.1.conv2,448,64,384,0.15
34,layer4.2.conv1,512,64,448,0.15
35,layer4.2.conv2,384,57,327,0.15
