layer_index,layer_name,option,out_channels,in_channels,kernels_before,active_kernels_after,unique_kernels_after,num_candidates,num_groups,grouped_kernels,effective_removed_kernels
1,layer1.0.conv1,representative,64,64,4096,3605,3605,1000,0,491,491
2,layer1.0.conv2,representative,64,64,4096,3605,3605,1000,0,491,491
3,layer1.1.conv1,representative,64,64,4096,3605,3605,1000,0,491,491
4,layer1.1.conv2,representative,64,64,4096,3605,3605,1000,0,491,491
5,layer1.2.conv1,representative,64,64,4096,3605,3605,1000,0,491,491
6,layer1.2.conv2,representative,64,64,4096,3605,3605,1000,0,491,491
7,layer2.0.conv1,representative,128,64,8192,7253,7253,1000,8,947,939
8,layer2.0.conv2,representative,128,128,16384,15463,15463,1000,17,938,921
10,layer2.1.conv1,representative,128,128,16384,15448,15448,1000,13,949,936
11,layer2.1.conv2,representative,128,128,16384,15437,15437,1000,13,960,947
12,layer2.2.conv1,representative,128,128,16384,15452,15452,1000,10,942,932
13,layer2.2.conv2,representative,128,128,16384,15447,15447,1000,12,949,937
14,layer2.3.conv1,representative,128,128,16384,15451,15451,1000,11,944,933
15,layer2.3.conv2,representative,128,128,16384,15435,15435,1000,10,959,949
16,layer3.0.conv1,representative,256,128,32768,31847,31847,1000,21,942,921
17,layer3.0.conv2,representative,256,256,65536,64619,64619,1000,18,935,917
19,layer3.1.conv1,representative,256,256,65536,64612,64612,1000,11,935,924
20,layer3.1.conv2,representative,256,256,65536,64601,64601,1000,7,942,935
21,layer3.2.conv1,representative,256,256,65536,64581,64581,1000,10,965,955
22,layer3.2.conv2,representative,256,256,65536,64586,64586,1000,5,955,950
23,layer3.3.conv1,representative,256,256,65536,64607,64607,1000,8,937,929
24,layer3.3.conv2,representative,256,256,65536,64577,64577,1000,4,963,959
25,layer3.4.conv1,representative,256,256,65536,64593,64593,1000,4,947,943
26,layer3.4.conv2,representative,256,256,65536,64582,64582,1000,10,964,954
27,layer3.5.conv1,representative,256,256,65536,64588,64588,1000,8,956,948
28,layer3.5.conv2,representative,256,256,65536,64581,64581,1000,5,960,955
29,layer4.0.conv1,representative,512,256,131072,130153,130153,1000,9,928,919
30,layer4.0.conv2,representative,512,512,262144,261222,261222,1000,12,934,922
32,layer4.1.conv1,representative,512,512,262144,261208,261208,1000,8,944,936
33,layer4.1.conv2,representative,512,512,262144,261169,261169,1000,3,978,975
34,layer4.2.conv1,representative,512,512,262144,261191,261191,1000,7,960,953
35,layer4.2.conv2,representative,512,512,262144,261163,261163,1000,3,984,981
